Tiempo,Partida,Palabras a adivinar,Evento,Usuarie – Nick,Usuarie – Genero,Usuarie – Edad,Estado,Palabra,Nivel,
2021-06-14 21:58:09.575776,30,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 21:58:11.955779,30,4,Intento,valen,Masculino,18,error,Jetpack Joyride,1,
2021-06-14 21:58:14.040782,30,4,Intento,valen,Masculino,18,error,Jetpack Joyride,1,
2021-06-14 21:58:15.725784,30,4,Intento,valen,Masculino,18,Ok,Jetpack Joyride,1,
2021-06-14 21:58:16.650786,30,4,Intento,valen,Masculino,18,Ok,Ingress Prime,1,
2021-06-14 21:58:16.670786,30,4,fin,valen,Masculino,18,Finalizada,Ingress Prime,1,
2021-06-14 22:01:59.981100,31,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:03:25.041219,32,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:03:27.736223,32,4,Intento,valen,Masculino,18,Ok,"Give It Up! - Jump to the Beat, Follow the Music!",1
2021-06-14 22:03:30.121226,32,4,Intento,valen,Masculino,18,Ok,Central Hospital Stories,1,
2021-06-14 22:03:30.131226,32,4,fin,valen,Masculino,18,Finalizada,Central Hospital Stories,1,
2021-06-14 22:03:33.051231,33,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:03:35.211234,33,4,Intento,valen,Masculino,18,error,Woodturning,1,
2021-06-14 22:03:37.306236,33,4,Intento,valen,Masculino,18,error,Woodturning,1,
2021-06-14 22:03:38.641238,33,4,Intento,valen,Masculino,18,Ok,Disney Frozen Free Fall - Play Frozen Puzzle Games,1,
2021-06-14 22:03:40.986242,33,4,Intento,valen,Masculino,18,Ok,Woodturning,1,
2021-06-14 22:03:41.001242,33,4,fin,valen,Masculino,18,Finalizada,Woodturning,1,
2021-06-14 22:03:42.666244,34,4,inicio de partida,valen,Masculino,18,,,1,
2021-06-14 22:03:44.816247,34,4,Intento,valen,Masculino,18,error,Angry Birds Evolution 2021,1,
2021-06-14 22:03:47.251250,34,4,Intento,valen,Masculino,18,error,Angry Birds Evolution 2021,1,
2021-06-14 22:03:49.256253,34,4,Intento,valen,Masculino,18,Ok,Angry Birds Evolution 2021,1,
2021-06-14 22:03:50.206255,34,4,Intento,valen,Masculino,18,Ok,Mini Football - Mobile Soccer,1,
2021-06-14 22:03:50.221255,34,4,fin,valen,Masculino,18,Finalizada,Mini Football - Mobile Soccer,1,
2021-06-14 22:04:00.711269,35,9,inicio de partida,valen,Masculino,18,,,2,
2021-06-14 22:04:09.981282,35,9,Intento,valen,Masculino,18,error,Trivia Crack 2,2,
2021-06-14 22:04:15.451290,35,9,Intento,valen,Masculino,18,error,Genshin Impact,2,
2021-06-14 22:04:18.691294,35,9,Intento,valen,Masculino,18,error,Trivia Crack 2,2,
2021-06-14 22:04:21.936299,35,9,Intento,valen,Masculino,18,error,Genshin Impact,2,
2021-06-14 22:04:23.806302,35,9,Intento,valen,Masculino,18,error,Trivia Crack 2,2,
2021-06-14 22:04:27.661307,35,9,Intento,valen,Masculino,18,error,Angry Birds Space,2,
2021-06-14 22:04:29.956310,35,9,Intento,valen,Masculino,18,error,Genshin Impact,2,
2021-06-14 22:04:33.216315,35,9,Intento,valen,Masculino,18,error,Trivia Crack 2,2,
2021-06-14 22:04:37.096320,35,9,Intento,valen,Masculino,18,error,Genshin Impact,2,
2021-06-14 22:04:38.866323,35,9,Intento,valen,Masculino,18,Ok,Angry Birds Space,2,
2021-06-14 22:04:42.291327,35,9,Intento,valen,Masculino,18,error,Genshin Impact,2,
2021-06-14 22:04:43.926330,35,9,Intento,valen,Masculino,18,error,Trivia Crack 2,2,
2021-06-14 22:04:46.056333,35,9,Intento,valen,Masculino,18,Ok,Trivia Crack 2,2,
2021-06-14 22:04:48.791337,35,9,Intento,valen,Masculino,18,Ok,Genshin Impact,2,
2021-06-14 22:04:48.806337,35,9,fin,valen,Masculino,18,Finalizada,Genshin Impact,2,
2021-06-14 22:08:50.471680,36,9,inicio de partida,valen,Masculino,18,,,2,
2021-06-14 22:08:57.066689,36,9,Intento,valen,Masculino,18,error,Escape Titanic,2,
2021-06-14 22:09:00.086693,36,9,Intento,valen,Masculino,18,error,Escape Titanic,2,
2021-06-14 22:09:04.241699,36,9,Intento,valen,Masculino,18,error,FINAL FANTASY BRAVE EXVIUS,2,
2021-06-14 22:09:07.241703,36,9,Intento,valen,Masculino,18,error,FINAL FANTASY BRAVE EXVIUS,2,
2021-06-14 22:09:10.536708,36,9,Intento,valen,Masculino,18,error,Snow Cone Maker - Frozen Foods,2,
2021-06-14 22:09:13.511712,36,9,Intento,valen,Masculino,18,error,FINAL FANTASY BRAVE EXVIUS,2,
2021-06-14 22:09:14.931714,36,9,Intento,valen,Masculino,18,Ok,FINAL FANTASY BRAVE EXVIUS,2,
2021-06-14 22:09:17.526718,36,9,Intento,valen,Masculino,18,error,Escape Titanic,2,
2021-06-14 22:09:20.301721,36,9,Intento,valen,Masculino,18,error,Snow Cone Maker - Frozen Foods,2,
2021-06-14 22:09:22.121724,36,9,Intento,valen,Masculino,18,Ok,Escape Titanic,2,
2021-06-14 22:09:23.791726,36,9,Intento,valen,Masculino,18,Ok,Snow Cone Maker - Frozen Foods,2,
2021-06-14 22:09:23.806726,36,9,fin,valen,Masculino,18,Finalizada,Snow Cone Maker - Frozen Foods,2,
2021-06-14 22:20:39.457673,37,9,inicio de partida,valen,Masculino,18,,,2,
2021-06-14 22:20:42.367677,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:20:46.152682,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:20:51.082689,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:20:58.732699,37,9,Intento,valen,Masculino,18,Ok,Fishing Clash,2,
2021-06-14 22:21:05.867711,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:21:12.157720,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:21:15.147724,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:21:17.117727,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:21:20.902732,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:21:22.687735,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:21:29.327744,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:21:31.872748,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:21:32.912749,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:21:41.877762,37,9,Intento,valen,Masculino,18,error,Manor Matters,2,
2021-06-14 22:21:43.577764,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
2021-06-14 22:21:49.972773,37,9,Intento,valen,Masculino,18,error,Rally Racer Dirt,2,
